name,uri,genres,popularity,followers,image_url
Bad Omens,spotify:artist:3Ri4H12KFyu98LMjSoij5V,['american metalcore'],74,1517342,https://i.scdn.co/image/ab676161000051745d4b995885f2d687bb5c48ac
Sleep Token,spotify:artist:2n2RSaZqBuUUukhbLlpnE6,['prog metal'],77,1651765,https://i.scdn.co/image/ab67616100005174dbc568c9d871256b9a3e34a1
Motionless In White,spotify:artist:6MwPCCR936cYfM1dLsGVnl,"['alternative metal', 'metalcore']",70,1761469,https://i.scdn.co/image/ab6761610000517458f2b24b02877506d74b612b
Too Close To Touch,spotify:artist:2XziUthG3Ug3eiWuE5KRsp,"['christian rock', 'metalcore']",53,181482,https://i.scdn.co/image/ab67616100005174054361a8148cff752933f0e5
I Prevail,spotify:artist:3Uobr6LgQpBbk6k4QGAb3V,"['alternative metal', 'nu-metalcore', 'post-grunge']",70,1600631,https://i.scdn.co/image/ab67616100005174bdc02d0b1c232af2fa559092
Waterparks,spotify:artist:3QaxveoTiMetZCMp1sftiu,"['neon pop punk', 'pixie', 'pop punk', 'pov: indie', 'texas pop punk']",60,532597,https://i.scdn.co/image/ab676161000051747ee8357ca6f41c9ab8f453a9
grandson,spotify:artist:4ZgQDCtRqZlhLswVS6MHN4,"['modern alternative rock', 'modern rock', 'pov: indie', 'rock']",66,1174884,https://i.scdn.co/image/ab676161000051744afdc02ea65bf9a6fa01f3a5
The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,"['modern alternative rock', 'modern rock', 'pop']",86,18693277,https://i.scdn.co/image/ab67616100005174df0b5ac84376a0a4b2166816
Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",94,27824989,https://i.scdn.co/image/ab67616100005174c7e6bd9e65eab62a53355576
Catch Your Breath,spotify:artist:2fqPOGxG12nEERj8YG7p22,['american metalcore'],64,171789,https://i.scdn.co/image/ab676161000051748aa2754db11019a2d19f6272
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,['pop'],87,43358231,https://i.scdn.co/image/ab67616100005174f8349dfb619a7f842242de77
Rain City Drive,spotify:artist:4rMxZovfLSDjEL9eI2pKo7,[],63,314679,https://i.scdn.co/image/ab67616100005174574ccdf99aaaaa6a46f5dcd3
The Plot In You,spotify:artist:1cJ5tVoeAEFcZBAwSZ0CtF,['metalcore'],66,465243,https://i.scdn.co/image/ab67616100005174e37f236d6cb6e194c88660ab
Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,['alternative metal'],76,4957135,https://i.scdn.co/image/ab676161000051747ecf213c7dd78e0049379c5b
If Not For Me,spotify:artist:5aqpMOXNPtkxwT7jWuE9Vd,['american metalcore'],50,45034,https://i.scdn.co/image/ab6761610000517471b30f75d49881d4caa01ad6
Bring Me The Horizon,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']",81,6038794,https://i.scdn.co/image/ab67616100005174e7c9399d0b5d813c20cbec65
Memphis May Fire,spotify:artist:7cNNNhdJDrt3vgQjwSavNf,"['melodic metalcore', 'metalcore', 'pop punk']",63,877618,https://i.scdn.co/image/ab6761610000517497b338006d09399d93512ad3
Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'pop']",79,12290519,https://i.scdn.co/image/ab6761610000517462fa38af4bdc7322b2103493
Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'hip hop', 'rap']",80,14749876,https://i.scdn.co/image/ab67616100005174597f9edd2cd1a892d4412b09
Ice Nine Kills,spotify:artist:52qKfVcIV4GS8A8Vay2xtt,['metalcore'],69,1016237,https://i.scdn.co/image/ab67616100005174e8119ccdb928a59489dada04
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']",89,24251930,https://i.scdn.co/image/ab67616100005174a48397e590a1c70e2cda7728
Jay Chou,spotify:artist:2elBjNSdBE2Y3f0j1mjrql,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",76,6337720,https://i.scdn.co/image/ab6761610000517402b3aa55ba238b2ceafb09da
Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",81,8730116,https://i.scdn.co/image/ab67616100005174655ca8f3196953554b479452
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']",92,64003205,https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789
Kesha,spotify:artist:6LqNN22kT3074XbTVUrhzX,"['dance pop', 'pop']",81,8332875,https://i.scdn.co/image/ab676161000051742ac07249400857d8b16dc17a
David Guetta,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",90,26498223,https://i.scdn.co/image/ab67616100005174f150017ca69c8793503c2d4f
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,95411178,https://i.scdn.co/image/ab676161000051749e528993a2820267b97f6aae
Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']",86,11020986,https://i.scdn.co/image/ab676161000051744051627b19277613e0e62a34
JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",85,9604309,https://i.scdn.co/image/ab67616100005174c75afcd5a9027f60eaebb5e4
One Direction,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']",90,37753901,https://i.scdn.co/image/289c7f686f5b78ceeb224453cf9a15697a678a79
T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76,4899685,https://i.scdn.co/image/ab6761610000517412057d342f33c61b3768f2bc
